Close/Last,Volume,Open,High,Low,daily_returns
207.42,33517070,205.06,208.1,202.075,0.024094006122247436
200.59,30803780,207.9,208.1,200.03,-0.03292835792112614
203.19,31202490,199.85,205.57,199.2,0.012961762799740706
207.82,29437310,203.55,209.04,202.54,0.022786554456420083
209.44,32004940,210.88,212.57,208.06,0.007795207391011472
207.26,24464470,209.35,210.07,206.81,-0.010408708938120736
210.33,33829090,207.73,211.98,206.54,0.014812313036765445
212.46,27158420,213.49,213.99,211.32,0.010126943374696884
206.19,33154780,208.0,210.99,205.54,-0.02951143744704887
210.38,21331560,207.22,210.41,206.98,0.02032106309714332
205.91,28554260,208.82,210.18,204.82,-0.021247266850461077
209.83,25681050,207.06,210.11,206.72,0.019037443543295618
210.58,19925840,210.51,211.19,208.32,0.0035743220702473266
215.81,26458050,211.23,215.86,211.23,0.02483616677747169
221.4,40461370,218.79,223.86,216.81,0.025902414160604348
222.86,28950840,222.72,225.21,220.43,0.0065943992773260796
220.86,23451710,223.0,224.22,219.13,-0.00897424391994972
219.66,22733060,217.1,220.36,216.01,-0.005433306166802598
219.66,26057880,220.15,222.29,219.32,0.0
214.22,27625840,220.415,222.3,213.72,-0.024765546754074497
214.65,22753510,215.8,217.37,213.0901,0.0020072822332182216
214.8,22724910,213.12,216.92,213.12,0.0006988120195667857
214.89,22351450,213.93,216.055,211.7,0.0004189944134076473
216.23,18879610,215.03,216.28,213.16,0.006235748522499973
210.08,37111560,213.85,216.3399,208.1,-0.02844193682652718
213.25,36700330,211.59,214.67,210.329,0.015089489718202564
202.68,51195590,207.67,208.84,202.1,-0.04956623681125438
204.72,31432560,204.07,207.36,203.37,0.010065127294256904
202.47,36980110,203.5,204.29,199.62,-0.01099062133645956
202.33,30842160,204.29,205.28,200.12,-0.0006914604632783927
206.43,27512030,203.89,208.12,203.12,0.020263925270597616
216.39,42311780,214.02,218.32,212.4185,0.048248801046359535
223.29,36080140,222.04,224.12,221.15,0.031886870927491984
223.72,25231900,222.26,224.36,218.03,0.0019257467866899969
218.39,44394950,224.435,228.12,217.88,-0.023824423386375915
211.01,44045120,214.5,216.5,209.72,-0.033792756078575015
216.55,29440790,212.39,218.04,212.2,0.026254679872991904
215.44,21616120,217.21,219.11,214.46,-0.005125836989148036
216.51,18630310,216.36,217.42,214.16,0.004966580022280009
217.23,24953340,214.87,217.74,214.52,0.0033254815020091755
214.46,24154110,216.1,217.68,214.08,-0.012751461584495583
