,Date,Close,High,Low,Open,Volume
0,2014-01-02,17.21536636352539,17.336748475666468,17.18081968400385,17.294731974273784,234684800
1,2014-01-03,16.83722686767578,17.233117704876623,16.82010809948616,17.206974973923483,392467600
2,2014-01-06,16.92902946472168,17.018353173805508,16.607522953072053,16.727349265207618,412610800
3,2014-01-07,16.807964324951172,16.992214989601543,16.74198254447538,16.94117285651885,317209200
4,2014-01-08,16.914405822753906,16.979764282982163,16.76594682543067,16.769680074881922,258529600
5,2014-01-09,16.69840431213379,17.020221654481514,16.66198934644905,17.018353367945558,279148800
6,2014-01-10,16.586986541748047,16.831617455288992,16.530030381507558,16.801427332763804,304976000
7,2014-01-13,16.673818588256836,16.88452442426541,16.49174540898382,16.492679552318627,378492800
8,2014-01-14,17.005592346191406,17.01617376129946,16.733883015048963,16.75131259701928,332561600
9,2014-01-15,17.34702491760254,17.435416177388504,17.16962074375328,17.227511051696894,391638800
10,2014-01-16,17.25023078918457,17.33115222193905,17.170241837815666,17.27046114737319,229278000
11,2014-01-17,16.82756996154785,17.18237824664594,16.80360469473185,17.164016178223385,426739600
12,2014-01-21,17.08901023864746,17.120132841927834,16.819790744516116,16.837531160282587,328526800
13,2014-01-22,17.164953231811523,17.344845683707195,17.0497959331727,17.146278670962126,379985200
14,2014-01-23,17.310293197631836,17.320252960083852,16.956419114435935,17.116082816347408,403239200
15,2014-01-24,16.995634078979492,17.292862830868774,16.954550060723896,17.24244236682519,429354800
16,2014-01-27,17.133508682250977,17.267340480873713,16.985673047081512,17.12012649969457,554878800
17,2014-01-28,15.764078140258789,16.028626875691334,15.6261989123666,15.834416475983659,1065523200
18,2014-01-29,15.585113525390625,15.791151935227443,15.518820940869205,15.684709477850046,502810000
19,2014-01-30,15.554925918579102,15.764077618638153,15.45906652341018,15.640827212857506,678501600
20,2014-01-31,15.580442428588867,15.609387566002715,15.361021864690443,15.411753146360825,464797200
21,2014-02-03,15.609393119812012,15.802360217169776,15.539988925328508,15.643007322303687,401464000
22,2014-02-04,15.835352897644043,15.85620657298958,15.647678130420283,15.743850041931319,376681200
23,2014-02-05,15.953617095947266,16.0373392667417,15.75629346864296,15.765942403532708,328344800
24,2014-02-06,16.046611785888672,16.077609666298237,15.899454624203258,15.969902984303344,257765200
25,2014-02-07,16.271106719970703,16.372863998488707,16.199094905712936,16.324333861368864,370280400
26,2014-02-10,16.562597274780273,16.656527301340653,16.218502094524734,16.239166232172636,345559200
27,2014-02-11,16.780826568603516,16.836869550620307,16.578562838125084,16.613317981376635,282256800
28,2014-02-12,16.779571533203125,16.893540304958268,16.695662572619707,16.811821829585668,308100800
29,2014-02-13,17.046022415161133,17.059172016937673,16.725721592538886,16.740123616966827,307398000
30,2014-02-14,17.032238006591797,17.094546429261786,16.945198843742833,16.984647634973555,272924400
31,2014-02-18,17.094867706298828,17.25767765821997,17.08296885332122,17.095180393975447,260251600
32,2014-02-19,16.824974060058594,17.12304396369506,16.730418657715727,17.05604018765911,313768000
33,2014-02-20,16.63022804260254,16.81339111056562,16.56291157276022,16.687837817938558,305858000
34,2014-02-21,16.445499420166016,16.73730722940637,16.42514796871962,16.68157525366828,278784800
35,2014-02-24,16.517513275146484,16.591718913524254,16.35689547353273,16.37975177329806,288909600
36,2014-02-25,16.345624923706055,16.580761069460067,16.312436550554636,16.574813314356298,231952000
37,2014-02-26,16.198156356811523,16.437676838519288,16.143364100683126,16.39415639020832,276217200
38,2014-02-27,16.521268844604492,16.556022318698012,16.15744759300382,16.19157569184181,301882000
39,2014-02-28,16.47649574279785,16.68032292563898,16.347497885201175,16.56541440447076,371968800
40,2014-03-03,16.524089813232422,16.614575277441705,16.369105405848646,16.38820443700876,238781200
41,2014-03-04,16.633045196533203,16.676879992516042,16.524400449854244,16.625532332205495,259140000
42,2014-03-05,16.668113708496094,16.742943044162267,16.566981822048287,16.623028160071097,200062800
43,2014-03-06,16.617706298828125,16.733240226557246,16.534735368010413,16.681578197566033,185488800
44,2014-03-07,16.607994079589844,16.65621150652432,16.470543645707174,16.628345525810523,220729600
